Operation,Elapsed Time (s),Heap Used Avg,Heap Used StdDev,Margin of Error,Relative Margin of Error
Insert column,"SM: 22.484035970499995
ST: 471.35388291011105","SM: 55781.99729163173
ST: -23625011.85815603","SM: 24737.695330533716
ST: 56667.95818225306","SM: 2252.7300897365244
ST: 16201.107627376477","SM: 8.30727074433087
ST: 4.293420144671216"
Insert row,"SM: 18.251623162055555
ST: 282.822993099","SM: 144512.31314991883
ST: -17057723.24352796","SM: 28898.858843217768
ST: 41034.86244733539","SM: 3851.1575937970747
ST: 11175.796667567072","SM: 33.351824531617
ST: 2.1527239083281633"
Remove column,"SM: 30.029313659
ST: 150.57219768085716","SM: 36517.86409377904
ST: -19567353.81840543","SM: 37021.97998136005
ST: 18937.992165964784","SM: 3053.3197266403054
ST: 4525.531648244434","SM: 12.724595265581403
ST: 2.483923613885814"
Remove row,"SM: 21.921575821444446
ST: 221.6565032402222","SM: 71938.78441782808
ST: -16917177.234899256","SM: 23696.0756540188
ST: 28578.018465361118","SM: 2627.473340897478
ST: 7314.470573397599","SM: 5.446611221818842
ST: 2.916106687238546"
Set cell value,"SM: 30.017129996111105
ST: 242.31877543618182","SM: -6402.982352742827
ST: -12811161.52926578","SM: 22384.518601251402
ST: 33168.97284821743","SM: 1497.4022464102309
ST: 8665.542069944726","SM: 52.39457085591926
ST: 6.471456992166551"
