"Operation","Elapsed Time (s)","Period (ns/op)","Margin of Error (ns)","Relative Margin of Error"
"Insert row","
SM: 10.001330626
ST: 5.055924899","
SM: 1518215.5451482467
ST: 13935218.45517241","
SM: 0.0000547657465212614
ST: 0.0006297028722374315","
SM: 3.607244484900448
ST: 4.518787231524894"
"Undo insert row","
SM: 10.01613568
ST: 5.267076734","
SM: 12817412.395959599
ST: 502417953.75","
SM: 0.000317274011383544
ST: 0.008923219433625184","
SM: 2.4753359069850753
ST: 1.7760550487941604"
"Redo insert row","
SM: 10.011184526
ST: 10.855887543","
SM: 11128159.593525179
ST: 1198008639.9999998","
SM: 0.0002329704711256335
ST: 0.015418476860397769","
SM: 2.0935220165352884
ST: 1.2870088199362044"
"
Remove row","
SM: 10.005725863
ST: 10.732276349","
SM: 1368000.3836265234
ST: 12329887.125","
SM: 0.0000527017199770143
ST: 0.0008276872363176883","
SM: 3.8524638302588627
ST: 6.7128533126590835"
"Undo remove row","
SM: 10.012008922
ST: 11.402031635","
SM: 10394769.416403778
ST: 644678103.8000001","
SM: 0.00025676273280026893
ST: 0.0048188739338289165","
SM: 2.4701147520894193
ST: 0.7474852807043509"
"
Redo remove row","
SM: 10.023351862
ST: 14.33952711","
SM: 12690063.739316251
ST: 509671193.7999999","
SM: 0.0003858033455013711
ST: 0.02347542994842469","
SM: 3.0402002182706016
ST: 4.6059950481793726"
"
Insert column","
SM: 10.01004182
ST: 5.02401574","
SM: 1533064.487671235
ST: 11909770.457516344","
SM: 0.000056788857999373175
ST: 0.0005772959020324014","
SM: 3.7042706589360064
ST: 4.847246251232875"
"
Undo insert column","
SM: 10.008366235
ST: 5.301144986","
SM: 12588707.416499006
ST: 506182970.87500006","
SM: 0.0003192694631721002
ST: 0.008719201038538814","
SM: 2.53615762610909
ST: 1.7225393859984253"
"
Redo insert column","
SM: 10.00691318
ST: 10.590107738","
SM: 9765518.542483665
ST: 1171756885.2000003","
SM: 0.00023180228802621028
ST: 0.01772215182116513","
SM: 2.373681305480948
ST: 1.512442729802287"
"Remove column","
SM: 10.000484101
ST: 14.198999536","
SM: 1353129.1048064064
ST: 1179989496.6","
SM: 0.0000490243743335774
ST: 0.05200945997825983","
SM: 3.623037458838147
ST: 4.407620587142421"
"
Undo remove column","
SM: 10.003437255
ST: N/A","
SM: 10650824.818471333
ST: N/A","
SM: 0.00028226537260960416
ST: N/A","
SM: 2.650173835551982
ST: N/A"
"
Redo remove column","
SM: 10.01604881
ST: N/A","
SM: 12825977.429184545
ST: N/A","
SM: 0.0003727295845476123
ST: N/A","
SM: 2.9060520853521403
ST: N/A"
"
Insert a row and a column","
SM: 10.006123135
ST: 5.070990318","
SM: 2985413.758223687
ST: 26010743.476635527","
SM: 0.00008252893995988061
ST: 0.0013223923425664866","
SM: 2.7644054273061673
ST: 5.084023621832809"
"
Undo insert a row and a column","
SM: 10.02914641
ST: 9.505584217","
SM: 26997235.721030045
ST: 1465375359.8","
SM: 0.0006290356145023496
ST: 0.025205072485106252","
SM: 2.330000082239344
ST: 1.720042057247799"
"
Redo insert a row and a column","
SM: 10.101457089
ST: N/A","
SM: 52544306.321100935
ST: N/A","
SM: 0.0009993439083330299
ST: N/A","
SM: 1.9019071300056534
ST: N/A"
"
Remove a row and a column","
SM: 10.011355717
ST: 11.149536862","
SM: 2819752.4070146824
ST: 669433454","
SM: 0.00008804184784402613
ST: 0.019176912390171295","
SM: 3.122325478825904
ST: 2.8646480506143477
"
"
Undo remove a row and a column","
SM: 10.069964414
ST: N/A","
SM: 30036476.08387097
ST: N/A","
SM: 0.0007372078728904746
ST: N/A","
SM: 2.4543753762324387
ST: N/A"
"
Redo remove a row and a column","
SM: 7.91875899
ST: N/A","
SM: 27876879.718750007
ST: N/A","
SM: 0.00027833612056906354
ST: N/A","
SM: 0.9984479015485168
ST: N/A"
"Insert a row and a column and remove them right away","
SM: 10.006857727
ST: 5.032337709","
SM: 6601876.050245097
ST: 82976077.32608694","
SM: 0.00015810501758494892
ST: 0.0038071711613260643","
SM: 2.3948498333148684
ST: 4.58827566210957"
"
Undo insert a row and a column and remove them right away","
SM: 7.027300617
ST: N/A","
SM: 101928770.24561404
ST: N/A","
SM: 0.0010190290815696114
ST: N/A","
SM: 0.9997462729257837
ST: N/A"
"
Redo insert a row and a column and remove them right away","
SM: 9.49076771
ST: N/A","
SM: 97973823.80952378
ST: N/A","
SM: 0.0009712577608240435
ST: N/A","
SM: 0.9913441397493258
ST: N/A"
"
Set a 3-character string in cell","
SM: 10.001942967
ST: 10.207057813","
SM: 24957.67418142777
ST: 66018667.285714276","
SM: 0.00001060036458421715
ST: 0.001921174125652124","
SM: 42.47336713813421
ST: 2.910046816512828"
"
Undo set a 3-character string in cell","
SM: 10.008324772
ST: 11.012557984","
SM: 690178.5246006377
ST: 278015396.5","
SM: 0.000021559302069941903
ST: 0.02623979483465228","
SM: 3.1237283255686483
ST: 9.438252400763092"
"
Redo set a 3-character string in cell","
SM: 10.003834636
ST: 10.989768468","
SM: 617355.5088715394
ST: 254615692","
SM: 0.000028001075021627167
ST: 0.005273218278044956","
SM: 4.535648361316184
ST: 2.0710499956322233"
